,City,date,mean,std,Cluster,Cluster_Label
0,Boston_MA,2020-01-01,220.77777777777777,107.69649923610524,2,Kapali
1,Boston_MA,2020-01-02,208.16666666666666,112.42945500597776,2,Kapali
2,Boston_MA,2020-01-03,59.888888888888886,41.38753561853089,2,Kapali
3,Boston_MA,2020-01-04,18.38888888888889,7.163131823185991,2,Kapali
4,Boston_MA,2020-01-05,199.5,91.30057019343887,2,Kapali
5,Boston_MA,2020-01-06,144.11111111111111,105.0579049795531,2,Kapali
6,Boston_MA,2020-01-07,225.27777777777777,142.21640740768174,2,Kapali
7,Boston_MA,2020-01-08,219.27777777777777,132.29414888824584,2,Kapali
8,Boston_MA,2020-01-09,287.72222222222223,149.30182834685053,0,Gunesli
9,Boston_MA,2020-01-10,116.05555555555556,87.36230996610824,2,Kapali
10,Boston_MA,2020-01-11,216.26315789473685,149.27485540485495,2,Kapali
11,Boston_MA,2020-01-12,216.47368421052633,143.55849308094773,2,Kapali
12,Boston_MA,2020-01-13,39.421052631578945,33.51834620269536,2,Kapali
13,Boston_MA,2020-01-14,127.57894736842105,82.8890260726645,2,Kapali
14,Boston_MA,2020-01-15,193.78947368421052,106.18148978013929,2,Kapali
15,Boston_MA,2020-01-16,149.10526315789474,128.70633876164337,2,Kapali
16,Boston_MA,2020-01-17,301.36842105263156,164.2498809491589,0,Gunesli
17,Boston_MA,2020-01-18,92.52631578947368,64.72709240517507,2,Kapali
18,Boston_MA,2020-01-19,245.3684210526316,171.48767708442745,0,Gunesli
19,Boston_MA,2020-01-20,289.63157894736844,170.59738519759708,0,Gunesli
20,Boston_MA,2020-01-21,274.63157894736844,162.22933373821823,0,Gunesli
21,Boston_MA,2020-01-22,301.5263157894737,169.8160339311838,0,Gunesli
22,Boston_MA,2020-01-23,276.94736842105266,147.2754311878901,0,Gunesli
23,Boston_MA,2020-01-24,282.7368421052632,154.8575840733325,0,Gunesli
24,Boston_MA,2020-01-25,92.26315789473684,58.12232512866784,2,Kapali
25,Boston_MA,2020-01-26,307.05263157894734,162.28523369679507,0,Gunesli
26,Boston_MA,2020-01-27,173.21052631578948,118.11274225518996,2,Kapali
27,Boston_MA,2020-01-28,86.89473684210526,53.82264572633397,2,Kapali
28,Boston_MA,2020-01-29,340.7894736842105,170.53692299693682,0,Gunesli
29,Boston_MA,2020-01-30,344.6842105263158,171.55499689331214,0,Gunesli
30,Boston_MA,2020-01-31,294.6842105263158,174.0823727854715,0,Gunesli
31,Boston_MA,2020-02-01,46.7,22.806047212826787,2,Kapali
32,Boston_MA,2020-02-02,143.85,121.36299401295881,2,Kapali
33,Boston_MA,2020-02-03,245.95,149.1440402323945,0,Gunesli
34,Boston_MA,2020-02-04,94.66666666666667,64.31510968142193,2,Kapali
35,Boston_MA,2020-02-05,138.14285714285714,77.24071835132408,2,Kapali
36,Boston_MA,2020-02-06,17.666666666666668,10.465817375309648,2,Kapali
